EventTime,EventType,Event,SourceFile
1.6124832343520927e+18,ORDER_EXECUTED,"{'agent_id': 900, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.ASK: 'ASK'>, 'order_id': 4, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",NoiseAgent900.bz2
1.612483234398886e+18,ORDER_EXECUTED,"{'agent_id': 550, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.ASK: 'ASK'>, 'order_id': 5, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",NoiseAgent550.bz2
1.61248323442024e+18,ORDER_EXECUTED,"{'agent_id': 980, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.ASK: 'ASK'>, 'order_id': 6, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",NoiseAgent980.bz2
1.612483234309876e+18,ORDER_EXECUTED,"{'agent_id': 626, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.ASK: 'ASK'>, 'order_id': 2, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",NoiseAgent626.bz2
1.6124832343113413e+18,ORDER_EXECUTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",ValueAgent1095.bz2
1.612483234312184e+18,ORDER_EXECUTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",ValueAgent1095.bz2
1.612483234314811e+18,ORDER_EXECUTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",ValueAgent1095.bz2
1.6124832343484006e+18,ORDER_EXECUTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",ValueAgent1095.bz2
1.6124832343143132e+18,ORDER_EXECUTED,"{'agent_id': 227, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.ASK: 'ASK'>, 'order_id': 3, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",NoiseAgent227.bz2
1.6124832344170893e+18,ORDER_EXECUTED,"{'agent_id': 698, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 8, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",NoiseAgent698.bz2
1.6124832343076644e+18,LAST_TRADE,"100,$100011.0000",EXCHANGE_AGENT.bz2
1.6124832343085071e+18,LAST_TRADE,"100,$100011.0000",EXCHANGE_AGENT.bz2
1.612483234311134e+18,LAST_TRADE,"100,$100011.0000",EXCHANGE_AGENT.bz2
1.6124832343447237e+18,LAST_TRADE,"100,$100011.0000",EXCHANGE_AGENT.bz2
1.612483234396009e+18,LAST_TRADE,"100,$100011.0000",EXCHANGE_AGENT.bz2
1.6124832344158625e+18,LAST_TRADE,"100,$100011.0000",EXCHANGE_AGENT.bz2
1.6124832344011297e+18,ORDER_EXECUTED,"{'agent_id': 387, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 7, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",NoiseAgent387.bz2
1.6124832343135736e+18,ORDER_EXECUTED,"{'agent_id': 778, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.ASK: 'ASK'>, 'order_id': 1, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}",NoiseAgent778.bz2
